Species,Accession,Rep ,Fruit_num,Date_collected,Diameter_mm,Height_mm,Diam_hgt_ratio,Fresh_weight_grams,notes
SCH,08,A,02,2020-06-23,18.69,13.99,1.34,2.6102,
SCH,08,A,03,2020-06-23,18.81,14.99,1.25,2.8004,
SCH,08,A,04,2020-06-23,18.71,15.02,1.25,2.8027,
SCH,08,A,05,2020-06-26,19.03,15.26,1.25,2.8089,
SCH,08,A,06,2020-06-26,17.63,14.13,1.25,2.3568,
SCH,08,A,07,2020-06-26,17.72,14.24,1.24,2.3649,
SCH,08,A,08,2020-06-26,17.28,13.53,1.28,2.0923,
SCH,08,A,09,2020-06-26,19.21,15.22,1.26,2.8585,
SCH,08,A,10,2020-06-30,18.72,14.43,1.30,2.5954,
SCH,08,A,11,2020-06-30,17.40,13.70,1.27,2.1754,
SCH,08,A,12,2020-06-30,16.95,13.86,1.22,2.0676,
SCH,08,A,13,2020-06-30,17.93,13.68,1.31,2.3105,
SCM,01,A,01,2020-08-05,17.10,15.93,1.07,2.3929,
SCM,01,A,02,2020-08-05,17.67,16.54,1.07,2.6009,
SCM,01,A,03,2020-08-13,19.61,17.78,1.10,3.4663,
SCM,01,A,04,2020-08-13,17.96,16.33,1.10,2.6798,
SCM,01,A,05,2020-09-01,16.43,16.01,1.03,2.2234,
SCM,01,B,01,2020-08-06,19.24,17.56,1.10,3.2121,
SCM,01,B,02,2020-08-06,20.28,18.37,1.10,3.7547,
SCM,01,B,03,2020-08-13,19.22,17.11,1.12,3.2343,
SCM,01,B,04,2020-08-20,19.74,16.88,1.17,3.3415,
SCM,01,B,05,2020-09-01,19.58,17.01,1.15,3.3167,
SCM,01,C,01,2020-08-26,17.38,14.96,1.16,2.3828,
SCM,01,C,02,2020-08-26,18.12,15.61,1.16,2.6443,
SCM,01,C,05,2020-09-06,15.28,14.44,1.06,1.7668,
SCM,01,C,06,2020-09-12,15.25,13.88,1.10,1.7611,"green calyx with brown tips, fruit still whitish and slightly soft to touch"
SCM,01,C,07,2020-09-12,17.04,15.59,1.09,2.3529,"green calyx with brown tips, fruit had brown spots, slightly soft to touch, 2 seeds burst out side of fruit during transport"
SCM,03,A,03,2020-07-23,16.66,14.38,1.16,1.9705,
SCM,03,A,04,2020-07-23,16.86,14.40,1.17,1.9983,
SCM,03,A,05,2020-09-01,16.88,15.41,1.10,2.1724,
SCM,03,A,06,2020-09-12,14.93,13.59,1.10,1.6099,"green calyx with brown tips, fruit slightly soft to touch, fruit pulled off plant with ease"
SCM,03,A,07,2020-09-12,15.52,13.75,1.13,1.7547,"green calyx with brown tips, fruit slightly soft to touch, fruit pulled off plant with ease"
SCM,03,B,01,2020-08-20,16.84,14.70,1.15,2.1843,
SCM,03,B,02,2020-08-28,16.84,15.58,1.08,2.2973,
SCM,03,B,03,2020-09-01,14.86,13.11,1.13,1.4751,
SCM,03,B,04,2020-09-01,14.62,13.21,1.11,1.4721,
SCM,03,B,05,2020-09-06,14.73,13.14,1.12,1.4925,
SCM,03,B,06,2020-09-06,14.46,13.29,1.09,1.4733,
SCM,03,C,01,2020-08-06,16.67,15.31,1.09,2.0789,
SCM,03,C,02,2020-08-11,13.79,12.42,1.11,1.2364,
SCM,03,C,03,2020-08-11,16.84,14.93,1.13,2.1143,
SCM,03,C,04,2020-08-20,13.82,12.81,1.08,1.4122,
SCM,03,C,05,2020-08-30,15.15,13.77,1.10,1.6803,
SCM,11,A,01,2020-08-05,11.94,11.31,1.06,0.8964,
SCM,11,A,02,2020-08-05,11.47,10.30,1.11,0.7207,
SCM,11,A,04,2020-08-13,13.09,11.11,1.18,1.0167,
SCM,11,A,05,2020-08-13,14.49,12.28,1.18,1.3814,
SCM,11,A,06,2020-09-05,13.13,11.58,1.13,1.1143,
SCM,11,A,07,2020-09-12,12.05,11.33,1.06,0.9095,
SCM,11,A,08,2020-09-12,15.07,13.61,1.11,1.6785,
SCM,11,B,01,2020-08-06,13.32,13.11,1.02,1.3598,
SCM,11,B,02,2020-09-12,11.44,10.55,1.08,0.7509,"probably not ripe, green calyx and still fairly firm. Did not find any other fruits on this plant except for 2 very small underdeveloped ones which I froze in -20"
SCM,11,C,01,2020-06-26,15.46,13.57,1.14,1.6802,
SCM,11,C,02,2020-06-26,15.88,13.70,1.16,1.8149,
SCM,11,C,03,2020-07-10,19.35,17.04,1.14,3.1865,
SCM,11,C,04,2020-07-10,19.28,18.15,1.06,3.7068,
SCM,11,C,05,2020-07-17,18.44,16.85,1.09,3.0781,
SCM,11,C,06,2020-07-17,18.18,16.43,1.11,2.9039,
SCM,11,C,07,2020-09-12,14.04,12.72,1.10,1.5206,"brown calyx, quite soft, found on ground"
SCR,07,A,01,2020-06-23,19.84,17.66,1.12,3.6409,
SCR,07,A,02,2020-06-30,18.10,16.45,1.10,2.8569,
SCR,07,A,03,2020-06-30,19.42,17.50,1.11,3.5261,
SCR,07,A,04,2020-07-03,19.23,17.91,1.07,3.4491,
SCR,07,A,05,2020-07-03,18.52,16.75,1.11,3.0684,
SCR,07,B,01,2020-07-08,16.72,13.65,1.22,2.0282,
SCR,07,B,02,2020-07-08,15.28,12.83,1.19,1.5753,
SCR,07,B,03,2020-07-08,15.81,13.15,1.20,1.7593,
SCR,07,B,04,2020-08-06,17.25,13.31,1.30,2.1972,3 locules
SCR,07,B,05,2020-08-06,17.28,14.47,1.19,2.3091,
SCR,07,C,01,2020-07-07,15.25,12.75,1.20,1.5638,
SCR,07,C,02,2020-07-07,13.84,11.37,1.22,1.1657,
SCR,07,C,04,2020-08-07,16.27,14.48,1.12,2.1209,
SCR,07,C,08,2020-09-15,15.32,12.49,1.23,1.6168,
SCR,07,C,09,2020-09-15,13.42,10.92,1.23,1.1293,
SCR,08,A,01,2020-07-03,18.23,17.08,1.07,2.9042,
SCR,08,A,02,2020-07-03,19.14,18.65,1.03,3.6391,
SCR,08,A,03,2020-07-03,18.76,18.20,1.03,3.3008,
SCR,08,A,04,2020-07-22,16.48,14.19,1.16,2.0649,
SCR,08,A,05,2020-07-22,18.78,16.65,1.13,3.2344,3 locules
SCR,08,A,06,2020-08-13,17.49,15.63,1.12,2.6551,
SCR,08,A,07,2020-08-13,16.13,15.31,1.05,2.2018,
SCR,08,B,01,2020-07-30,13.33,14.61,0.91,1.4054,
SCR,08,B,02,2020-07-30,13.21,14.10,0.94,1.2323,
SCR,08,B,03,2020-07-30,13.84,14.75,0.94,1.4449,
